tic,datafqtr,atq,cshoq,niq,prccq
PAYC,2016Q1,1331.632,57.138,18.588,35.6
PAYC,2016Q2,1258.983,57.539,10.421,43.21
PAYC,2016Q3,820.995,57.899,6.198,50.13
PAYC,2016Q4,1078.613,57.331,8.633,45.49
PAYC,2017Q1,1218.552,57.349,33.694,57.51
PAYC,2017Q2,1045.943,57.938,20.016,68.41
PAYC,2017Q3,1069.936,58.132,20.91,74.96
PAYC,2017Q4,1355.164,57.789,48.866,80.33
PAYC,2018Q1,1608.13,57.917,41.16,107.39
PAYC,2018Q2,1418.965,57.701,35.722,98.83
PAYC,2018Q3,1468.186,57.73,28.769,155.41
PAYC,2018Q4,1521.926,57.277,31.414,122.45
PAYC,2019Q1,2062.828,57.447,47.282,189.13
PAYC,2019Q2,1826.192,57.629,48.762,226.72
PAYC,2019Q3,1592.027,57.657,39.152,209.49
PAYC,2019Q4,2486.917,57.66,45.38,264.76
PAYC,2020Q1,2309.725,57.622,63.015,202.01
PAYC,2020Q2,1921.5,57.588,28.589,309.73
PAYC,2020Q3,2485.199,57.605,27.482,311.3
PAYC,2020Q4,2607.912,57.739,24.367,452.25
PAYC,2021Q1,3406.773,57.741,64.616,370.06
PAYC,2021Q2,3233.087,57.918,52.278,363.47
PAYC,2021Q3,4218.038,57.997,30.379,495.75
PAYC,2021Q4,3215.145,58.012,48.687,415.19
PAYC,2022Q1,5444.574,58.015,91.93,346.38
PAYC,2022Q2,4891.703,57.864,57.355,280.12
PAYC,2022Q3,3314.57,57.867,52.153,329.99
PAYC,2022Q4,3902.513,57.867,79.951,310.31
PAYC,2023Q1,4241.622,57.872,119.296,304.01
PAYC,2023Q2,3951.341,57.949,64.516,321.24
PAYC,2023Q3,3856.101,57.7,75.219,259.27
PAYC,2023Q4,4197.539,56.528,81.757,206.72
PAYC,2024Q1,4733.264,56.557,247.187,199.01
MTLS,2014Q2,171.456,47.072,-0.233,11.5
MTLS,2014Q3,161.237,47.072,3.29,11.23
